instance,algo,seed,epsilon,horizon,reg
../instances/i-1.txt,thompson-sampling-with-hint,18,0.02,400,140.0
../instances/i-1.txt,thompson-sampling-with-hint,18,0.02,1000,317.0
../instances/i-1.txt,thompson-sampling-with-hint,19,0.02,100,26.0
../instances/i-1.txt,thompson-sampling-with-hint,19,0.02,400,120.0
../instances/i-1.txt,thompson-sampling-with-hint,19,0.02,1000,297.0
../instances/i-1.txt,thompson-sampling-with-hint,20,0.02,100,21.0
../instances/i-1.txt,thompson-sampling-with-hint,20,0.02,400,120.0
../instances/i-1.txt,thompson-sampling-with-hint,20,0.02,1000,317.0
../instances/i-1.txt,thompson-sampling-with-hint,21,0.02,100,35.0
../instances/i-1.txt,thompson-sampling-with-hint,21,0.02,400,134.0
../instances/i-1.txt,thompson-sampling-with-hint,21,0.02,1000,322.0
../instances/i-1.txt,thompson-sampling-with-hint,22,0.02,100,34.0
../instances/i-1.txt,thompson-sampling-with-hint,22,0.02,400,124.0
../instances/i-1.txt,thompson-sampling-with-hint,22,0.02,1000,314.0
../instances/i-1.txt,thompson-sampling-with-hint,23,0.02,100,32.0
../instances/i-1.txt,thompson-sampling-with-hint,23,0.02,400,127.0
../instances/i-1.txt,thompson-sampling-with-hint,23,0.02,1000,325.0
../instances/i-1.txt,thompson-sampling-with-hint,24,0.02,100,30.0
../instances/i-1.txt,thompson-sampling-with-hint,24,0.02,400,120.0
../instances/i-1.txt,thompson-sampling-with-hint,24,0.02,1000,299.0
../instances/i-1.txt,thompson-sampling-with-hint,25,0.02,100,27.0
../instances/i-1.txt,thompson-sampling-with-hint,25,0.02,400,113.0
../instances/i-1.txt,thompson-sampling-with-hint,25,0.02,1000,280.0
../instances/i-1.txt,thompson-sampling-with-hint,26,0.02,100,31.0
../instances/i-1.txt,thompson-sampling-with-hint,26,0.02,400,133.0
../instances/i-1.txt,thompson-sampling-with-hint,26,0.02,1000,315.0
../instances/i-1.txt,thompson-sampling-with-hint,27,0.02,100,30.0
../instances/i-1.txt,thompson-sampling-with-hint,27,0.02,400,128.0
../instances/i-1.txt,thompson-sampling-with-hint,27,0.02,1000,288.0
../instances/i-1.txt,thompson-sampling-with-hint,28,0.02,100,30.0
../instances/i-1.txt,thompson-sampling-with-hint,28,0.02,400,116.0
../instances/i-1.txt,thompson-sampling-with-hint,28,0.02,1000,293.0
../instances/i-1.txt,thompson-sampling-with-hint,29,0.02,100,30.0
../instances/i-1.txt,thompson-sampling-with-hint,29,0.02,400,121.0
../instances/i-1.txt,thompson-sampling-with-hint,29,0.02,1000,310.0
../instances/i-1.txt,thompson-sampling-with-hint,30,0.02,100,25.0
../instances/i-1.txt,thompson-sampling-with-hint,30,0.02,400,109.0
../instances/i-1.txt,thompson-sampling-with-hint,30,0.02,1000,303.0
../instances/i-1.txt,thompson-sampling-with-hint,31,0.02,100,34.0
../instances/i-1.txt,thompson-sampling-with-hint,31,0.02,400,117.0
../instances/i-1.txt,thompson-sampling-with-hint,31,0.02,1000,296.0
../instances/i-1.txt,thompson-sampling-with-hint,32,0.02,100,33.0
../instances/i-1.txt,thompson-sampling-with-hint,32,0.02,400,125.0
../instances/i-1.txt,thompson-sampling-with-hint,32,0.02,1000,311.0
